243,Coil 1 nmr spectrum,PAS_C1_V112,double,10,,,,,,1
244,Coil 1 nmr spectrum,PAS_C1_V113,double,10,,,,,,1
245,Coil 1 nmr spectrum,PAS_C1_V114,double,10,,,,,,1
246,Coil 1 nmr spectrum,PAS_C1_V115,double,10,,,,,,1
247,Coil 1 nmr spectrum,PAS_C1_V116,double,10,,,,,,1
248,Coil 1 nmr spectrum,PAS_C1_V117,double,10,,,,,,1
249,Coil 1 nmr spectrum,PAS_C1_V118,double,10,,,,,,1
250,Coil 1 nmr spectrum,PAS_C1_V119,double,10,,,,,,1
251,Coil 1 nmr spectrum,PAS_C1_V120,double,10,,,,,,1
252,Coil 1 nmr spectrum,PAS_C1_V121,double,10,,,,,,1
253,Coil 1 nmr spectrum,PAS_C1_V122,double,10,,,,,,1
254,Coil 1 nmr spectrum,PAS_C1_V123,double,10,,,,,,1
255,Coil 1 nmr spectrum,PAS_C1_V124,double,10,,,,,,1
256,Coil 1 nmr spectrum,PAS_C1_V125,double,10,,,,,,1
257,Coil 1 nmr spectrum,PAS_C1_V126,double,10,,,,,,1
258,Coil 1 nmr spectrum,PAS_C1_V127,double,10,,,,,,1
259,Coil 1 nmr spectrum,PAS_C1_V128,double,10,,,,,,1
260,Coil 1 nmr spectrum,PAS_C1_V129,double,10,,,,,,1
261,Coil 1 nmr spectrum,PAS_C1_V130,double,10,,,,,,1
262,Coil 1 nmr spectrum,PAS_C1_V131,double,10,,,,,,1
263,Coil 1 nmr spectrum,PAS_C1_V132,double,10,,,,,,1
264,Coil 1 nmr spectrum,PAS_C1_V133,double,10,,,,,,1
265,Coil 1 nmr spectrum,PAS_C1_V134,double,10,,,,,,1
266,Coil 1 nmr spectrum,PAS_C1_V135,double,10,,,,,,1
267,Coil 1 nmr spectrum,PAS_C1_V136,double,10,,,,,,1
268,Coil 1 nmr spectrum,PAS_C1_V137,double,10,,,,,,1
269,Coil 1 nmr spectrum,PAS_C1_V138,double,10,,,,,,1
270,Coil 1 nmr spectrum,PAS_C1_V139,double,10,,,,,,1
271,Coil 1 nmr spectrum,PAS_C1_V140,double,10,,,,,,1
272,Coil 1 nmr spectrum,PAS_C1_V141,double,10,,,,,,1
273,Coil 1 nmr spectrum,PAS_C1_V142,double,10,,,,,,1
274,Coil 1 nmr spectrum,PAS_C1_V143,double,10,,,,,,1
275,Coil 1 nmr spectrum,PAS_C1_V144,double,10,,,,,,1
276,Coil 1 nmr spectrum,PAS_C1_V145,double,10,,,,,,1
277,Coil 1 nmr spectrum,PAS_C1_V146,double,10,,,,,,1
278,Coil 1 nmr spectrum,PAS_C1_V147,double,10,,,,,,1
279,Coil 1 nmr spectrum,PAS_C1_V148,double,10,,,,,,1
280,Coil 1 nmr spectrum,PAS_C1_V149,double,10,,,,,,1
281,Coil 1 nmr spectrum,PAS_C1_V150,double,10,,,,,,1
282,Coil 1 nmr spectrum,PAS_C1_V151,double,10,,,,,,1
283,Coil 1 nmr spectrum,PAS_C1_V152,double,10,,,,,,1
284,Coil 1 nmr spectrum,PAS_C1_V153,double,10,,,,,,1
285,Coil 1 nmr spectrum,PAS_C1_V154,double,10,,,,,,1
286,Coil 1 nmr spectrum,PAS_C1_V155,double,10,,,,,,1
287,Coil 1 nmr spectrum,PAS_C1_V156,double,10,,,,,,1
288,Coil 1 nmr spectrum,PAS_C1_V157,double,10,,,,,,1
289,Coil 1 nmr spectrum,PAS_C1_V158,double,10,,,,,,1
290,Coil 1 nmr spectrum,PAS_C1_V159,double,10,,,,,,1
291,Coil 1 nmr spectrum,PAS_C1_V160,double,10,,,,,,1
292,Coil 1 nmr spectrum,PAS_C1_V161,double,10,,,,,,1
293,Coil 1 nmr spectrum,PAS_C1_V162,double,10,,,,,,1
294,Coil 1 nmr spectrum,PAS_C1_V163,double,10,,,,,,1
295,Coil 1 nmr spectrum,PAS_C1_V164,double,10,,,,,,1
296,Coil 1 nmr spectrum,PAS_C1_V165,double,10,,,,,,1
297,Coil 1 nmr spectrum,PAS_C1_V166,double,10,,,,,,1
298,Coil 1 nmr spectrum,PAS_C1_V167,double,10,,,,,,1
299,Coil 1 nmr spectrum,PAS_C1_V168,double,10,,,,,,1
300,Coil 1 nmr spectrum,PAS_C1_V169,double,10,,,,,,1
