205,DP1; LT qdrnt; brd 4; SiPM 1 voltage,DP1_LT4_CH1_V,double,1,V,49.5,52.25,57.75,60.5,2,1
206,DP1; LT qdrnt; brd 4; SiPM 2 voltage,DP1_LT4_CH2_V,double,1,V,49.5,52.25,57.75,60.5,2,1
207,DP1; LT qdrnt; brd 4; SiPM 3 voltage,DP1_LT4_CH3_V,double,1,V,49.5,52.25,57.75,60.5,2,1
208,DP1; LT qdrnt; brd 4; SiPM 4 voltage,DP1_LT4_CH4_V,double,1,V,49.5,52.25,57.75,60.5,2,1
209,DP1; LT qdrnt; brd 4; SiPM 5 voltage,DP1_LT4_CH5_V,double,1,V,49.5,52.25,57.75,60.5,2,1
210,DP1; LT qdrnt; brd 4; SiPM 6 voltage,DP1_LT4_CH6_V,double,1,V,49.5,52.25,57.75,60.5,2,1
211,DP1; LT qdrnt; brd 4; SiPM 7 voltage,DP1_LT4_CH7_V,double,1,V,49.5,52.25,57.75,60.5,2,1
212,DP1; LT qdrnt; brd 4; SiPM 8 voltage,DP1_LT4_CH8_V,double,1,V,49.5,52.25,57.75,60.5,2,1
213,DP1; LT qdrnt; brd 4; SiPM 9 voltage,DP1_LT4_CH9_V,double,1,V,49.5,52.25,57.75,60.5,2,1
214,DP1; LT qdrnt; brd 4; SiPM 10 voltage,DP1_LT4_CH10_V,double,1,V,49.5,52.25,57.75,60.5,2,1
215,DP1; LT qdrnt; brd 4; SiPM 11 voltage,DP1_LT4_CH11_V,double,1,V,49.5,52.25,57.75,60.5,2,1
216,DP1; LT qdrnt; brd 4; SiPM 12 voltage,DP1_LT4_CH12_V,double,1,V,49.5,52.25,57.75,60.5,2,1
217,DP1; LT qdrnt; brd 4; SiPM 13 voltage,DP1_LT4_CH13_V,double,1,V,49.5,52.25,57.75,60.5,2,1
